Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Valinhos,3556206,35,quarta-feira ,2021-02-03
Mogi Mirim,3530805,44,quarta-feira ,2021-02-03
Piracicaba,3538709,36,quarta-feira ,2021-02-03
Lins,3527108,41,quarta-feira ,2021-02-03
Bebedouro,3506102,49,quarta-feira ,2021-02-03
Mococa,3530508,53,quarta-feira ,2021-02-03
Itapecerica Da Serra,3522208,42,quarta-feira ,2021-02-03
Estado De São Paulo,35,40,quarta-feira ,2021-02-03
São João Da Boa Vista,3549102,43,quarta-feira ,2021-02-03
Campo Limpo Paulista,3509601,43,quarta-feira ,2021-02-03
Santos,3548500,35,quarta-feira ,2021-02-03
Itararé,3523206,45,quarta-feira ,2021-02-03
Assis,3504008,39,quarta-feira ,2021-02-03
Cubatão,3513504,43,quinta-feira ,2021-02-04
Vinhedo,3556701,37,quinta-feira ,2021-02-04
Arujá,3503901,34,quinta-feira ,2021-02-04
Bertioga,3506359,49,quinta-feira ,2021-02-04
São João Da Boa Vista,3549102,44,quinta-feira ,2021-02-04
São Caetano Do Sul,3548807,36,quinta-feira ,2021-02-04
Mogi Das Cruzes,3530607,38,quinta-feira ,2021-02-04
Atibaia,3504107,37,quinta-feira ,2021-02-04
Avaré,3504503,42,quinta-feira ,2021-02-04
Taquaritinga,3553708,53,quinta-feira ,2021-02-04
Itupeva,3524006,36,quinta-feira ,2021-02-04
São José Dos Campos,3549904,41,quinta-feira ,2021-02-04
Jaboticabal,3524303,39,quinta-feira ,2021-02-04
Sumaré,3552403,35,quinta-feira ,2021-02-04
Franco Da Rocha,3516408,39,quinta-feira ,2021-02-04
Presidente Prudente,3541406,34,quinta-feira ,2021-02-04
Praia Grande,3541000,44,quinta-feira ,2021-02-04
Carapicuíba,3510609,37,quinta-feira ,2021-02-04
Araras,3503307,35,quinta-feira ,2021-02-04
São José Do Rio Preto,3549805,37,quinta-feira ,2021-02-04
Sertãozinho,3551702,43,quinta-feira ,2021-02-04
Itaquaquecetuba,3523107,36,quinta-feira ,2021-02-04
Franca,3516200,35,quinta-feira ,2021-02-04
Limeira,3526902,32,quinta-feira ,2021-02-04
Registro,3542602,40,quinta-feira ,2021-02-04
Boituva,3507001,42,quinta-feira ,2021-02-04
Caraguatatuba,3510500,40,quinta-feira ,2021-02-04
Itapeva,3522406,35,quinta-feira ,2021-02-04
Monte Alto,3531308,48,quinta-feira ,2021-02-04
Itapetininga,3522307,39,quinta-feira ,2021-02-04
Piedade,3537800,45,quinta-feira ,2021-02-04
Salto,3545209,36,quinta-feira ,2021-02-04
Jaguariúna,3524709,40,quinta-feira ,2021-02-04
Araçatuba,3502804,35,quinta-feira ,2021-02-04
Birigui,3506508,40,quinta-feira ,2021-02-04
Artur Nogueira,3503802,46,quinta-feira ,2021-02-04
Embu Das Artes,3515004,40,quinta-feira ,2021-02-04
Bauru,3506003,37,quinta-feira ,2021-02-04
Itararé,3523206,45,quinta-feira ,2021-02-04
Caçapava,3508504,41,quinta-feira ,2021-02-04
Cosmópolis,3512803,39,quinta-feira ,2021-02-04
Pindamonhangaba,3538006,38,quinta-feira ,2021-02-04
Andradina,3502101,40,quinta-feira ,2021-02-04
São Sebastião,3550704,53,quinta-feira ,2021-02-04
Assis,3504008,38,quinta-feira ,2021-02-04
Ferraz De Vasconcelos,3515707,39,quinta-feira ,2021-02-04
Marília,3529005,35,quinta-feira ,2021-02-04
Poá,3539806,33,quinta-feira ,2021-02-04
Votorantim,3557006,36,quinta-feira ,2021-02-04
Mairiporã,3528502,40,quinta-feira ,2021-02-04
São José Do Rio Pardo,3549706,53,quinta-feira ,2021-02-04
Itu,3523909,34,quinta-feira ,2021-02-04
Leme,3526704,44,quinta-feira ,2021-02-04
Santana De Parnaíba,3547304,41,quinta-feira ,2021-02-04
Pirassununga,3539301,43,quinta-feira ,2021-02-04
Rio Grande Da Serra,3544103,47,quinta-feira ,2021-02-04
Osasco,3534401,36,quinta-feira ,2021-02-04
Taubaté,3554102,38,quinta-feira ,2021-02-04
Sorocaba,3552205,34,quinta-feira ,2021-02-04
Indaiatuba,3520509,38,quinta-feira ,2021-02-04
Mococa,3530508,55,quinta-feira ,2021-02-04
Ibitinga,3519600,47,quinta-feira ,2021-02-04
Itanhaém,3522109,44,quinta-feira ,2021-02-04
Lins,3527108,42,quinta-feira ,2021-02-04
Campinas,3509502,35,quinta-feira ,2021-02-04
Fernandópolis,3515509,39,quinta-feira ,2021-02-04
Piracicaba,3538709,35,quinta-feira ,2021-02-04
Cotia,3513009,37,quinta-feira ,2021-02-04
Itapevi,3522505,37,quinta-feira ,2021-02-04
Capivari,3510401,44,quinta-feira ,2021-02-04
Olímpia,3533908,43,quinta-feira ,2021-02-04
Campos Do Jordão,3509700,40,quinta-feira ,2021-02-04
São Vicente,3551009,41,quinta-feira ,2021-02-04
Jandira,3525003,33,quinta-feira ,2021-02-04
Guarulhos,3518800,36,quinta-feira ,2021-02-04
Mogi Mirim,3530805,43,quinta-feira ,2021-02-04
Penápolis,3537305,48,quinta-feira ,2021-02-04
Nova Odessa,3533403,37,quinta-feira ,2021-02-04
Guaratinguetá,3518404,39,quinta-feira ,2021-02-04
Mongaguá,3531100,42,quinta-feira ,2021-02-04
Catanduva,3511102,36,quinta-feira ,2021-02-04
Ubatuba,3555406,48,quinta-feira ,2021-02-04
