Data,Departamento Regional de Saúde,mm7d da Ocupação dos leitos de UTI e Enfermaria (%),Nº de novas internações nos últimos 7 dias,Pacientes em tratamento na UTI,Total de leitos de UTI destinados à Covid,Ocupação dos leitos de UTI e Enfermaria (%),Novos casos de internações (UTI e Enfermaria),Pacientes em tratamento na Enfermaria,Total de leitos de Enfermaria destinados à Covid
2020-06-07,Estado de São Paulo,67.0,12664,5135,7794,65.9,1893,8722,16486
2020-06-07,DRS 17 Taubaté,47.4,382,154,291,52.9,52,181,649
2020-06-07,DRS 16 Sorocaba,63.0,254,118,178,66.3,48,192,501
2020-06-07,DRS 15 São José do Rio Preto,33.3,308,93,250,37.2,41,137,555
2020-06-07,DRS 14 São João da Boa Vista,21.5,96,17,82,20.7,13,85,319
2020-06-07,DRS 13 Ribeirão Preto,54.2,340,95,154,61.7,58,139,326
2020-06-07,DRS 12 Registro,35.2,18,9,27,33.3,4,12,47
2020-06-07,DRS 11 Presidente Prudente,50.8,66,22,42,52.4,13,42,157
2020-06-07,DRS 10 Piracicaba,57.7,194,77,136,56.6,29,105,300
2020-06-07,DRS 08 Franca,51.1,51,14,36,38.9,10,27,143
2020-06-07,DRS 07 Campinas,64.0,1019,408,617,66.1,143,478,1168
2020-06-07,DRS 06 Bauru,46.6,260,52,115,45.2,42,181,484
2020-06-07,Grande SP Leste,71.2,751,297,423,70.2,117,530,905
2020-06-07,Grande SP Norte,76.8,112,62,86,72.1,17,178,273
2020-06-07,Grande SP Oeste,81.7,511,192,258,74.4,82,357,612
2020-06-07,Grande SP Sudeste,68.3,1294,491,801,61.3,184,934,1545
2020-06-07,Município de São Paulo,76.2,5716,2609,3466,75.3,886,4258,6312
2020-06-07,DRS 02 Araçatuba,24.2,88,16,65,24.6,7,47,230
2020-06-07,DRS 03 Araraquara,34.0,150,22,74,29.7,19,70,320
2020-06-07,DRS 04 Baixada Santista,69.2,563,266,423,62.9,62,456,758
2020-06-07,DRS 05 Barretos,20.6,80,14,55,25.4,12,26,132
2020-06-07,Grande SP Sudoeste,74.2,280,86,106,81.1,36,207,397
2020-06-08,DRS 09 Marília,21.3,129,26,109,23.8,10,75,356
2020-06-08,Estado de São Paulo,66.9,12725,5224,7880,66.3,1596,8408,16137
2020-06-08,DRS 17 Taubaté,49.1,395,168,304,55.3,50,192,657
2020-06-08,DRS 16 Sorocaba,63.4,273,111,176,63.1,42,193,489
2020-06-08,DRS 15 São José do Rio Preto,33.8,293,85,250,34.0,22,119,595
2020-06-08,DRS 14 São João da Boa Vista,23.2,96,21,82,25.6,13,66,300
2020-06-08,DRS 13 Ribeirão Preto,56.4,366,91,151,60.3,54,155,325
2020-06-08,DRS 12 Registro,32.1,20,7,27,25.9,3,11,47
2020-06-08,DRS 11 Presidente Prudente,51.5,74,23,42,54.8,11,47,160
2020-06-08,DRS 10 Piracicaba,58.6,201,80,138,58.0,25,122,296
2020-06-08,DRS 08 Franca,48.9,45,16,36,44.4,5,27,145
2020-06-08,DRS 07 Campinas,65.2,1059,444,629,70.6,128,473,1152
2020-06-08,DRS 06 Bauru,48.2,266,50,114,43.9,33,225,530
2020-06-08,Grande SP Leste,71.2,747,308,426,72.3,93,524,905
2020-06-08,Grande SP Norte,75.0,123,67,96,69.8,23,112,235
2020-06-08,Grande SP Oeste,79.2,534,217,299,72.6,87,373,635
2020-06-08,Grande SP Sudeste,66.8,1271,498,789,63.1,147,813,1521
