Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Mirassolândia,4221,3950,615,120,8404
Mococa,58140,51587,6494,1662,116886
Mogi Das Cruzes,345457,307854,37111,10180,719403
Mogi Guaçu,121826,110274,11681,3992,265294
Mogi Mirim,77547,69297,8700,2427,159615
Mombuca,3048,2667,352,70,6700
Mongaguá,47782,36616,4238,1184,99225
Monte Alegre Do Sul,6585,5911,734,189,14422
Monte Alto,40433,37437,4915,1160,82229
Monte Aprazível,18748,17298,2590,672,38030
Monte Azul Paulista,15498,14499,1993,338,32322
Monte Castelo,3386,3178,379,88,6875
Monte Mor,52220,42494,2792,1841,101714
Monteiro Lobato,3704,3159,372,89,8190
Monções,1759,1705,338,50,3914
Morro Agudo,22892,21237,2611,906,52390
Morungaba,11724,10568,995,353,23534
Motuca,3471,3375,432,123,8181
Murutinga Do Sul,3261,3141,648,91,6795
Nantes,2271,2124,279,59,4511
Narandiba,4287,4043,479,123,8128
Natividade Da Serra,5898,4850,507,148,14168
Nazaré Paulista,15304,13226,1295,458,33011
Neves Paulista,7960,7358,1420,228,16746
Nhandeara,8694,8126,1503,240,19786
Nipoã,4048,3590,375,155,7859
Nova Aliança,5814,5487,799,165,12927
Nova Campina,7214,7030,670,226,15337
Nova Canaã Paulista,1728,1665,323,25,3630
Nova Castilho,941,913,136,20,2059
Nova Europa,7736,7225,892,299,18616
Nova Granada,16306,15480,1948,557,37939
Nova Guataporanga,1910,1865,262,35,4043
Nova Independência,4566,4186,386,88,7792
Nova Luzitânia,2491,2312,350,126,6097
Nova Odessa,46527,40126,3524,1776,96748
Novais,3664,3133,476,142,8158
Novo Horizonte,32427,29988,3873,1043,69375
Nuporanga,6181,5609,735,171,14303
Ocauçu,3565,3518,565,102,6677
Olímpia,46358,41606,4462,1383,92384
Onda Verde,3889,3673,423,103,7960
Oriente,5190,4776,679,167,10618
Orindiúva,5038,4952,588,195,11237
Orlândia,31820,28976,3133,1137,76722
Osasco,604731,484398,46695,18660,1108632
Oscar Bressane,2168,2053,455,46,4527
Osvaldo Cruz,26596,25216,3918,720,57436
Ourinhos,87809,75000,9881,2121,168250
Ouro Verde,6276,5679,825,168,14139
Ouroeste,8578,7902,1026,260,16302
Pacaembu,13731,12818,1458,291,27710
Palestina,9503,8709,1126,347,20543
Palmares Paulista,7723,7162,719,452,19524
Palmeira D'Oeste,7791,7633,1551,193,15935
Palmital,17726,16371,2732,474,37378
Panorama,11733,10598,1159,274,26201
Paraguaçu Paulista,35000,32644,4053,1047,76654
Paraibuna,14533,13149,1254,421,30497
Paranapanema,16028,14530,1383,520,30687
Paranapuã,3528,3373,522,91,7192
Parapuã,8672,7725,1229,235,17107
Paraíso,4886,4598,697,164,10329
Pardinho,5827,4957,510,154,10924
Pariquera-Açu,16336,14640,2611,379,32632
Parisi,2181,2057,376,45,4591
Patrocínio Paulista,11943,10990,1237,326,26161
Paulicéia,6036,5665,615,205,12142
Paulistânia,1693,1594,251,38,3226
Paulo De Faria,7136,6683,1198,185,16177
Paulínia,86259,78286,6754,2938,177646
Pederneiras,36474,31198,3372,1202,76428
Pedra Bela,5516,5266,593,165,10991
Pedranópolis,2391,2298,355,56,4553
Pedregulho,13740,11896,1609,384,26993
Pedreira,37354,33080,4173,1341,85374
Pedrinhas Paulista,2517,2476,455,55,5053
Pedro De Toledo,8208,7191,1212,191,18848
Penápolis,50953,45299,5779,1322,109659
Pereira Barreto,20347,18392,2303,576,39550
Pereiras,6615,5950,794,220,13752
Peruíbe,59086,49732,6257,1350,118806
Piacatu,4641,4383,543,133,10745
Piedade,45280,40347,3540,1563,93802
Pilar Do Sul,23793,22063,2128,681,47444
Pindamonhangaba,131733,114185,11701,4436,277588
Pindorama,12213,11419,1970,425,26907
Pinhalzinho,12802,12226,1301,401,26008
Piquerobi,2785,2435,409,54,5422
Piquete,10603,9657,1213,342,22958
Piracaia,23701,21926,2264,696,48166
Piracicaba,339798,311297,35535,10727,689281
Piraju,25171,22411,3262,562,50689
Pirajuí,18820,16019,1964,339,44831
Pirangi,9142,8649,1538,268,18974
Pirapora Do Bom Jesus,15334,11690,882,445,31033
Pirapozinho,20435,18432,1679,563,42641
Pirassununga,60489,52450,6798,1709,126649
Piratininga,11902,10900,1367,340,22788
Pitangueiras,27620,24544,3058,1150,60060
Planalto,3752,3535,392,130,7761
Platina,2661,2566,384,77,5724
Poloni,5056,4810,896,154,9362
Pompéia,17162,15210,1876,535,35245
Pongaí,2901,2763,512,81,5994
Pontal,32305,28629,2158,1599,72954
Pontalinda,3357,3153,403,107,7237
Pontes Gestal,2103,2047,276,61,4349
Populina,3631,3482,566,84,7005
Porangaba,8013,7307,989,224,17244
Porto Feliz,44232,41217,3615,1343,91496
Porto Ferreira,44371,40068,4470,1402,87186
Potim,18764,16334,1346,515,38678
Potirendaba,14754,13150,1817,480,29022
Poá,91725,75370,7894,2939,190579
Pracinha,2817,2743,199,10,6278
Pradópolis,14702,13138,1344,682,32452
Praia Grande,272757,221930,25039,8151,548789
Pratânia,4516,4111,351,129,9094
Presidente Alves,3312,3085,467,102,6921
Presidente Bernardes,13449,12181,1770,237,24402
Presidente Epitácio,31910,28604,3604,916,70552
Presidente Prudente,191529,173092,23905,5200,397108
Presidente Venceslau,29647,26551,4440,946,58831
Promissão,28648,26788,3585,1054,60429
Quadra,3066,2752,257,114,6017
Quatá,10820,10211,1121,340,22320
Queiroz,2796,2610,284,85,5947
Queluz,8133,6937,820,294,17854
Quintana,5451,5270,764,149,11417
Rafard,7682,6723,641,246,20668
Rancharia,24243,22700,2952,706,52650
Redenção Da Serra,3408,3066,295,86,8175
Regente Feijó,16264,15206,1616,474,33103
Reginópolis,8207,7913,767,72,16140
Registro,49152,41957,4776,1083,98474
Restinga,5766,5481,511,168,11309
Ribeira,2837,2512,398,58,5842
Ribeirão Bonito,9502,8807,1218,321,20120
Ribeirão Branco,14545,13259,1130,376,28924
Ribeirão Corrente,4025,3608,373,132,7763
Ribeirão Do Sul,3947,3767,569,80,7877
Ribeirão Dos Índios,1834,1795,388,44,3797
Ribeirão Grande,6545,6178,655,171,13685
Ribeirão Pires,95275,86528,10008,3337,202091
Ribeirão Preto,551691,493608,64749,20383,1235596
Rifaina,3527,3183,420,89,7123
Rincão,7695,7181,1044,291,18089
Rinópolis,7654,6953,1145,263,17210
Rio Claro,167843,145154,19513,5012,329667
Rio Das Pedras,25779,22387,1910,973,50733
Rio Grande Da Serra,31921,16757,1252,1350,90120
Riolândia,9902,8696,716,263,20993
Riversul,4809,4639,609,115,9725
Rosana,14089,12915,1738,372,28928
Roseira,8450,7983,1023,328,17665
Rubinéia,2952,2718,362,60,6799
Rubiácea,2414,2244,345,49,4606
Sabino,4499,3982,622,129,9759
Sagres,1991,1790,233,44,3969
Sales,5261,5174,746,145,10326
Sales Oliveira,9370,8877,1017,286,19868
Salesópolis,14373,13206,1508,459,28429
Salmourão,4020,3719,557,132,8039
Saltinho,7058,6407,682,262,14264
Salto,99877,86918,8393,3116,198909
Salto De Pirapora,35602,31470,3416,1116,73557
Salto Grande,7180,6370,703,214,14768
Sandovalina,3064,2796,515,79,6417
Santa Adélia,11784,11156,1806,423,24471
Santa Albertina,5217,5018,677,125,10802
Santa Branca,11288,10028,1160,349,25831
Santa Bárbara D'Oeste,148506,129498,12495,5359,310321
Santa Clara D'Oeste,2054,1934,299,32,3987
Santa Cruz Da Conceição,3690,3473,676,111,7952
Santa Cruz Da Esperança,1777,1676,233,40,3817
Santa Cruz Das Palmeiras,24182,21625,2574,984,55062
Santa Cruz Do Rio Pardo,39422,36696,4795,978,77192
Santa Ernestina,4832,4568,400,164,9436
Santa Fé Do Sul,29511,26225,4009,703,57577
Santa Gertrudes,19472,16550,1626,628,37635
Santa Isabel,44923,38992,4323,1153,96026
Santa Lúcia,6137,5637,522,237,13933
Santa Maria Da Serra,4586,4074,387,173,10052
Santa Mercedes,2624,2328,281,53,5160
Santa Rita D'Oeste,2285,2201,392,58,4839
Santa Rita Do Passa Quatro,22390,19974,3414,547,44516
Santa Rosa De Viterbo,20195,18442,2534,666,44246
Santa Salete,1431,1378,352,30,2934
