Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
SALESÓPOLIS;164;84,659749594;84,659749594;17252;14605,5
MATÃO;165;84,627986511;84,627986511;83626;70771
TRABIJU;166;84,522439586;84,522439586;1738;1469
BERTIOGA;167;84,518640978;84,518640978;64723;54703
ITU;168;84,451893284;84,451893284;175568;148270,5
AMPARO;169;84,393274351;84,393274351;72677;61334,5
VALENTIM GENTIL;170;84,388856045;84,388856045;13532;11419,5
CRISTAIS PAULISTA;171;84,365680202;84,365680202;8718;7355
SALTO;172;84,252438698;84,252438698;119736;100880,5
SOCORRO;173;84,207535307;84,207535307;41352;34821,5
PRESIDENTE PRUDENTE;174;84,181385678;84,181385678;230371;193929,5
ALTO ALEGRE;175;84,173189824;84,173189824;4088;3441
RIBEIRÃO DOS ÍNDIOS;176;84,127697842;84,127697842;2224;1871
MOGI MIRIM;177;84,127068873;84,127068873;93650;78785
MANDURI;178;84,086781029;84,086781029;9910;8333
ARAPEÍ;179;84,065040650;84,065040650;2460;2068
OSCAR BRESSANE;180;84,056857472;84,056857472;2603;2188
CABREÚVA;181;84,027047929;84,027047929;50429;42374
PINHALZINHO;182;83,922537042;83,922537042;15388;12914
MIRANDÓPOLIS;183;83,919073588;83,919073588;29706;24929
JUMIRIM;184;83,894090111;83,894090111;3418;2867,5
REGINÓPOLIS;185;83,806038426;83,806038426;9837;8244
MIRASSOL;186;83,799313467;83,799313467;60303;50533,5
NUPORANGA;187;83,792457876;83,792457876;7478;6266
TUPÃ;188;83,791368004;83,791368004;65570;54942
POLONI;189;83,706854245;83,706854245;6113;5117
CAJATI;190;83,656208325;83,656208325;28494;23837
CANANÉIA;191;83,617733833;83,617733833;12541;10486,5
SÃO JOÃO DAS DUAS PONTES;192;83,600156189;83,600156189;2561;2141
URUPÊS;193;83,539746544;83,539746544;13888;11602
