Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Taquaritinga,44062,35895,2038,1299,81897
Taquarituba,20921,15326,632,495,35904
Taquarivaí,4774,2924,39,122,8732
Tarabai,5559,4350,204,204,10726
Tarumã,11830,8885,386,410,21174
Tatuí,98905,71965,1413,3091,176062
Taubaté,240964,190328,4557,7748,482258
Tejupá,3582,2709,55,90,6585
Teodoro Sampaio,17994,13026,304,574,31855
Terra Roxa,6561,5276,296,245,12517
Tietê,31526,25411,925,1123,59989
Timburi,2265,1860,171,39,3905
Torre De Pedra,2329,1783,103,50,4226
Torrinha,7882,6428,342,256,15153
Trabiju,1434,1155,54,35,2715
Tremembé,40560,27960,1510,1222,77592
Três Fronteiras,5301,4098,306,134,9163
Tuiuti,5365,4037,131,180,11233
Tupi Paulista,13922,11283,660,325,25170
Tupã,53590,42577,2873,1383,98884
Turiúba,1604,1347,77,39,3128
Turmalina,1704,1444,181,23,2933
Ubarana,4473,3410,143,160,8763
Ubatuba,76202,51406,1097,2140,141317
Ubirajara,4290,2588,127,104,7475
Uchoa,8050,6513,416,231,15551
União Paulista,1384,1137,64,36,2460
Uru,1150,1037,89,26,2130
Urupês,11268,9286,500,351,21392
Urânia,7260,5651,442,232,13575
Valentim Gentil,11043,8934,304,405,21176
Valinhos,101567,77680,3690,3342,196308
Valparaíso,20123,14748,508,609,37792
Vargem,8060,5301,353,261,16203
Vargem Grande Do Sul,33780,23669,1912,1018,56286
Vargem Grande Paulista,38993,22865,729,1343,77326
Vera Cruz,8357,6901,327,181,15744
Vinhedo,61686,45614,1587,2286,120191
Viradouro,14660,11454,433,457,28451
Vista Alegre Do Alto,6380,4693,266,254,13220
Vitória Brasil,1560,1199,56,37,2708
Votorantim,85076,61744,1975,3252,179897
Votuporanga,80094,61675,3566,2314,151274
Várzea Paulista,88126,59813,1149,3590,175174
Zacarias,2108,1651,24,69,4075
Águas Da Prata,6541,5064,249,193,12475
Águas De Lindóia,16232,12704,405,463,31030
Águas De Santa Bárbara,5088,4001,133,136,9143
Águas De São Pedro,3406,2808,201,58,7308
Álvares Florence,3292,2783,159,80,6594
Álvares Machado,19664,14942,494,600,37080
Álvaro De Carvalho,5351,3156,144,107,8566
Óleo,2351,1725,83,54,4318
