codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3554706,Torrinha,-22.4237,-48.1731,Piracicaba,Rio Claro
3554755,Trabiju,-22.0388,-48.3342,Araraquara ,Araraquara
3554805,Tremembé,-22.9571,-45.5475,Vale do Paraíba Paulista,São José dos Campos
3554904,Três Fronteiras,-20.2344,-50.8905,São José do Rio Preto,Jales
3554953,Tuiuti,-22.8193,-46.6937,Macro Metropolitana Paulista,Bragança Paulista
3555000,Tupã,-21.9335,-50.5191,Marília,Tupã
3555109,Tupi Paulista,-21.3825,-51.575,Presidente Prudente,Dracena
3555208,Turiúba,-20.9428,-50.1135,Araçatuba,Birigui
3555307,Turmalina,-20.0486,-50.4792,São José do Rio Preto,Fernandópolis
3555356,Ubarana,-21.165,-49.7198,São José do Rio Preto,São José do Rio Preto
3555406,Ubatuba,-23.4332,-45.0834,Vale do Paraíba Paulista,Caraguatatuba
3555505,Ubirajara,-22.5272,-49.6613,Bauru,Bauru
3555604,Uchoa,-20.9511,-49.1713,São José do Rio Preto,São José do Rio Preto
3555703,União Paulista,-20.8862,-49.9025,São José do Rio Preto,Nhandeara 
3555802,Urânia,-20.2455,-50.6455,São José do Rio Preto,Jales
3555901,Uru,-21.7866,-49.2848,Bauru,Bauru
3556008,Urupês,-21.2032,-49.2931,São José do Rio Preto,Novo Horizonte
3556107,Valentim Gentil,-20.4217,-50.0889,São José do Rio Preto,Votuporanga
3556206,Valinhos,-22.9698,-46.9974,Campinas,Campinas
3556305,Valparaíso,-21.2229,-50.8699,Araçatuba,Araçatuba
3556354,Vargem,-22.887,-46.4124,Macro Metropolitana Paulista,Bragança Paulista
3556404,Vargem Grande do Sul,-21.8322,-46.8913,Campinas,São João da Boa Vista
3556453,Vargem Grande Paulista,-23.5993,-47.022,Metropolitana de São Paulo,Itapecerica da Serra
3556503,Várzea Paulista,-23.2136,-46.8234,Macro Metropolitana Paulista,Jundiaí
3556602,Vera Cruz,-22.2183,-49.8207,Marília,Marília
3556701,Vinhedo,-23.0302,-46.9833,Campinas,Campinas
3556800,Viradouro,-20.8734,-48.293,Ribeirão Preto,Jaboticabal 
3556909,Vista Alegre do Alto,-21.1692,-48.6284,Ribeirão Preto,Jaboticabal 
3556958,Vitória Brasil,-20.1956,-50.4875,São José do Rio Preto,Jales
3557006,Votorantim,-23.5446,-47.4388,Macro Metropolitana Paulista,Sorocaba
3557105,Votuporanga,-20.4237,-49.9781,São José do Rio Preto,Votuporanga
3557154,Zacarias,-21.0506,-50.0552,São José do Rio Preto,São José do Rio Preto
